#Table1
u,g,r,i,z,class,redshift,plate,mjd,fiberid
17.54646,17.10491,17.27222,17.44046,17.64634,STAR,-0.0002865514,2797,54616,102
16.27281,15.07306,15.21741,15.34946,15.4442,STAR,3.004301E-05,2797,54616,95
18.63251,17.34798,16.8057,16.68823,16.38147,STAR,-0.0001510459,2797,54616,77
17.44037,16.42689,16.06639,15.921,15.84577,STAR,-0.000656323,2797,54616,140
19.52133,17.96997,17.39497,17.16071,17.04609,STAR,-1.940665E-05,2797,54616,190
16.98797,15.61525,15.66077,15.73248,15.75249,STAR,-0.0006370392,2797,54616,185
17.24867,16.26987,15.87376,15.70117,15.63462,STAR,-0.0004806112,2797,54616,509
17.33916,16.11301,16.08676,16.13839,16.15534,STAR,-8.151703E-05,2797,54616,232
18.35121,17.2229,16.66677,16.39406,16.23589,STAR,-0.0008017814,2797,54616,565
17.36231,15.6606,14.85474,14.48497,14.28318,STAR,-0.0003899781,2797,54616,447
17.00167,15.88963,15.51854,15.37655,15.33673,STAR,-0.0004629589,2797,54616,432
18.63982,16.39702,15.37947,14.93838,14.65805,STAR,-0.0001408424,2535,54632,639
19.40765,17.79748,16.96883,16.61032,16.38474,STAR,-3.278886E-05,2535,54632,628
19.17325,17.20823,16.31856,15.98142,15.74173,STAR,-0.0001208972,2535,54632,504
19.08566,17.25265,16.32407,15.92537,15.6782,STAR,-0.0001563413,2535,54632,454
19.18423,17.11663,16.00905,15.5167,15.20206,STAR,0.0002018799,2535,54632,487
19.33904,16.9064,15.72701,15.23252,14.89549,STAR,-0.0003911821,2535,54632,27
19.06833,16.77257,15.6381,15.14281,14.79521,STAR,0.0003262485,2535,54632,108
18.27685,16.0803,14.9389,14.44649,14.1246,STAR,3.804891E-05,2535,54632,90
18.66144,16.1926,15.00488,14.48703,14.13636,STAR,-0.0002344666,2535,54632,292
18.57096,15.97001,14.72912,14.22495,13.95409,STAR,-1.453982E-05,2796,54629,63
19.25718,19.57734,19.97219,20.1934,20.41861,STAR,0.001474026,2817,54627,72
16.75437,15.33888,14.83315,14.66403,14.60479,STAR,-7.427138E-05,2796,54629,122
19.35475,17.62334,16.91294,16.62698,16.44304,STAR,-2.459313E-05,2796,54629,94
18.98925,18.88914,18.75388,18.50629,18.58436,QSO,1.688624,348,51671,599
18.5041,17.0179,16.46674,16.26838,16.17839,STAR,-7.846527E-05,2796,54629,109
17.99344,16.7216,16.14263,15.89103,15.75533,STAR,-0.0001652212,2796,54629,608
17.60027,16.26644,15.7577,15.56689,15.49459,STAR,4.796593E-05,2796,54629,232
19.28966,18.25311,17.57343,17.18205,16.90248,GALAXY,0.1636657,348,51671,168
19.39705,18.12826,17.97054,17.93246,17.9491,STAR,-0.000218182,2796,54629,431
19.46411,19.24191,19.19376,19.01704,19.03733,QSO,1.65905,348,51671,446
18.33887,17.02244,16.46168,16.21104,16.08685,STAR,-6.718983E-05,2796,54629,309
19.0065,17.39885,16.54095,16.11582,15.8248,GALAXY,-0.0004289105,2812,54639,308
19.25415,17.95347,17.38882,17.14602,17.00703,STAR,-8.074497E-05,2542,53919,143
19.52789,17.57775,16.63182,16.19422,15.83456,GALAXY,0.05830718,348,51671,237
18.16034,16.64165,15.98475,15.73174,15.59752,STAR,-0.0002036909,2534,53917,94
19.30396,16.28078,15.06051,14.56674,14.25593,STAR,-0.0001512388,2534,53917,185
16.77987,15.48464,15.11203,14.93085,14.83802,STAR,-0.001337512,2534,53917,303
19.11255,17.65327,17.10741,16.86547,16.71607,STAR,-0.001061563,2796,54629,321
19.21103,17.6293,17.40455,17.31309,17.20346,STAR,-3.068137E-05,2812,54639,273
18.32513,16.80637,16.06817,15.725,15.54414,STAR,-0.0004474866,2184,53534,207
18.924,17.79103,17.23522,16.98665,16.83393,STAR,-9.224314E-05,2534,53917,110
17.78517,16.47948,15.98445,15.79056,15.6954,STAR,-0.0001172082,364,52000,18
19.41944,19.62304,19.9,20.07431,20.02162,STAR,-0.0009703445,2210,53535,616
18.38701,17.20912,17.09054,17.10442,17.12076,STAR,-0.0001437988,348,51671,347
16.18871,15.0849,14.65439,14.49105,14.42876,STAR,-0.0003833765,2184,53534,88
17.3653,16.3639,16.02428,15.86514,15.78408,STAR,-0.0006458538,2184,53534,205
18.19823,18.17013,18.21209,18.20648,18.27438,STAR,-0.0001190828,364,52000,3
18.62552,17.12939,16.55403,16.338,16.23759,STAR,-0.0001460833,2534,53917,476
17.28282,17.51625,18.04416,18.33623,18.79684,STAR,-0.0005563313,4075,55352,992
19.12503,17.79423,17.11654,16.686,16.35192,GALAXY,0.05486474,364,52000,14
19.34255,19.13406,19.07035,18.87347,18.85267,QSO,1.675451,364,52000,67
19.16353,18.04082,17.48402,17.22765,17.07673,STAR,-9.830875E-05,2184,53534,7
19.36937,17.56459,16.83611,16.54219,16.35301,STAR,-0.0004179226,2534,53917,440
16.68893,15.27369,14.71915,14.51164,14.41875,STAR,-0.00013538,2534,53917,76
18.33623,16.23225,15.15486,14.6292,14.32214,STAR,-0.0007791155,2812,54639,335
19.56745,17.61945,16.6038,16.16619,15.84555,GALAXY,0.08061257,2533,54585,634
19.17402,18.19072,17.83487,17.68928,17.59763,STAR,-0.000529308,2210,53535,93
19.40803,18.08955,17.40552,17.07578,16.92392,STAR,-0.0002188115,2812,54639,118
18.19463,18.46798,18.84006,19.19331,19.50202,STAR,9.945536E-05,364,52000,105
16.71947,15.35855,15.127,15.09851,15.10117,STAR,-0.000146406,2184,53534,110
18.73516,17.14285,16.41195,15.98697,15.69473,GALAXY,0.05223828,1567,53172,95
18.31048,16.46515,15.50781,15.28761,15.03788,STAR,-0.0001217285,2184,53534,25
18.11818,15.99918,15.13983,14.83078,14.64013,STAR,-0.0001391215,2534,53917,545
18.63226,17.61388,17.41738,17.3655,17.34157,STAR,0.0002282713,364,52000,442
18.81056,17.16224,16.54889,16.3458,16.24854,STAR,-1.325916E-05,2210,53535,461
19.2917,17.51517,16.77327,16.47162,16.29578,STAR,-4.314801E-05,2534,53917,325
16.95003,15.24555,14.53022,14.22247,14.05948,STAR,-8.425184E-05,2184,53534,237
18.24669,16.95309,16.2288,15.81469,15.54155,GALAXY,0.07891437,2533,54585,64
17.57217,16.63308,16.29617,16.16634,16.12301,STAR,-0.0003452084,2533,54585,93
17.12228,16.9925,16.72122,16.25828,16.29075,QSO,0.1472984,2533,54585,612
17.78659,16.12617,15.26975,14.82298,14.54884,STAR,-0.0001088142,2812,54639,80
18.7474,17.49716,17.36618,17.34325,17.34368,STAR,-0.0003249117,1567,53172,109
18.66153,16.61767,15.84968,15.57388,15.3852,STAR,4.548058E-05,2534,53917,617
18.04693,17.00094,17.21721,17.38043,17.48092,STAR,-0.0008739063,2204,53877,10
18.68058,17.554,17.18472,16.96023,16.75671,GALAXY,0.04381554,2532,54589,571
